Combination,Features,auc,pcc,accuracy,recall,precision,f1
Ours 2,"['bos_attention_proportion_per_head_mean_layer_fft_mag_3', 'pos_score_per_layer_layer_slope_full', 'ecs_final_layer_per_head_std_layer_slope_full', 'v_ffn_norm_per_layer_layer_fft_mag_4']",0.650735294117647,0.2314712871940939,0.6060606060606061,0.6470588235294118,0.6111111111111112,0.6285714285714287
Ours 1,"['ecs_final_layer_per_head_std_layer_slope_full', 'v_ffn_norm_per_layer_layer_fft_mag_4']",0.6176470588235294,0.15661192061522888,0.5757575757575758,0.5882352941176471,0.5882352941176471,0.5882352941176471
Baseline,"['ecs_prompt_final_layer_per_head_std_layer_slope_full', 'parameter_knowledge_difference_layer_delta_mean']",0.5441176470588236,0.11712464788961255,0.5151515151515151,0.47058823529411764,0.5333333333333333,0.5
